ST_COUNTY,ST_CO_PUMA
0100001,0102090
0100003,0102600
0100005,0102400
0100007,0101700
0100009,0100800
0100011,0102400
0100013,0102300
0100015,0101100
0100017,0101800
0100019,0101000
0100021,0101800
0100023,0102200
0100025,0102200
0100027,0101000
0100029,0101000
0100031,0102300
0100033,0100190
0100035,0102200
0100037,0101800
0100039,0102300
0100041,0102300
0100043,0100700
0100045,0102500
0100047,0101700
0100049,0100400
0100051,0102090
0100053,0102200
0100055,0100900
0100057,0100190
0100059,0100190
0100061,0102500
0100063,0101700
0100065,0101700
0100067,0102500
0100069,0102500
0100071,0100400
0100073,0101300
0100075,0100190
0100077,0100190
0100079,0100600
0100081,0101900
0100083,0100290
0100085,0102090
0100087,0102400
0100089,0100290
0100091,0101700
0100093,0100190
0100095,0100290
0100097,0102700
0100099,0102200
0100101,0102090
0100103,0100600
0100105,0101700
0100107,0101590
0100109,0102400
0100111,0101000
0100113,0102400
0100115,0100800
0100117,0101200
0100119,0101700
0100121,0101000
0100123,0101800
0100125,0101590
0100127,0100190
0100129,0102200
0100131,0102200
0100133,0100700
0200013,0200400
0200016,0200400
0200020,0200100
0200050,0200400
0200060,0200400
0200063,0200300
0200066,0200300
0200068,0200300
0200070,0200400
0200090,0200300
0200100,0200300
0200105,0200400
0200110,0200300
0200122,0200200
0200130,0200300
0200150,0200400
0200158,0200400
0200164,0200400
0200170,0200200
0200180,0200400
0200185,0200400
0200188,0200400
0200195,0200400
0200198,0200400
0200220,0200400
0200230,0200300
0200240,0200300
0200275,0200400
0200282,0200400
0200290,0200400
0400001,0400300
0400003,0400900
0400005,0400400
0400007,0400800
0400009,0400800
0400011,0400800
0400012,0400600
0400013,0400100
0400015,0400600
0400017,0400300
0400019,0400200
0400021,0400800
0400023,0400900
0400025,0400500
0400027,0400700
0500001,0501790
0500003,0501790
0500005,0500300
0500007,0500100
0500009,0500300
0500011,0501790
0500013,0501900
0500015,0500300
0500017,0501790
0500019,0501600
0500021,0500590
0500023,0500400
0500025,0501790
0500027,0501900
0500029,0501300
0500031,0500590
0500033,0501400
0500035,0500590
0500037,0500700
0500039,0501900
0500041,0501790
0500043,0501790
0500045,0501100
0500047,0501500
0500049,0500400
0500051,0501600
0500053,0501790
0500055,0500590
0500057,0502000
0500059,0501600
0500061,0501500
0500063,0500400
0500065,0500400
0500067,0500800
0500069,0501790
0500071,0501300
0500073,0502000
0500075,0500590
0500077,0500700
0500079,0501790
0500081,0502000
0500083,0501500
0500085,0501100
0500087,0500300
0500089,0500300
0500091,0502000
0500093,0500590
0500095,0500700
0500097,0501600
0500099,0502000
0500101,0500300
0500103,0501900
0500105,0501300
0500107,0500700
0500109,0502000
0500111,0500700
0500113,0501500
0500115,0501300
0500117,0500800
