ST_PUMA,ST_CO_PUMA
0100100,0100100
0100200,0100200
0100300,0100300
0100401,0100490
0100402,0100490
0100403,0100490
0100501,0100490
0100600,0100600
0100700,0100700
0100800,0100800
0100900,0100900
0101000,0101000
0101100,0101100
0101201,0101200
0101202,0101200
0101301,0101390
0101401,0101390
0101402,0101390
0101403,0101390
0101404,0101390
0101501,0101503
0101502,0101503
0101600,0101600
0101700,0101700
0101801,0101890
0101802,0101890
0101901,0101890
0102000,0102000
0102101,0102190
0102201,0102190
0102300,0102300
0102400,0102400
0102500,0102500
0102600,0102600
0102701,0102700
0102702,0102700
0102801,0102800
0102802,0102800
0102803,0102800
0200101,0200100
0200102,0200100
0200200,0200200
0200300,0200300
0200400,0200400
0400101,0400100
0400102,0400100
0400103,0400100
0400104,0400100
0400105,0400100
0400106,0400100
0400107,0400100
0400108,0400100
0400109,0400100
0400110,0400100
0400111,0400100
0400112,0400100
0400113,0400100
0400114,0400100
0400115,0400100
0400116,0400100
0400117,0400100
0400118,0400100
0400119,0400100
0400120,0400100
0400121,0400100
0400122,0400100
0400123,0400100
0400124,0400100
0400125,0400100
0400126,0400100
0400127,0400100
0400128,0400100
0400129,0400100
0400130,0400100
0400131,0400100
0400132,0400100
0400133,0400100
0400134,0400100
0400135,0400100
0400400,0400400
0400500,0400500
0400601,0400600
0400602,0400600
0400701,0400790
0401101,0400790
0400803,0400890
0400805,0400890
0400807,0400890
0401901,0400890
0401902,0400890
0401903,0400890
0401904,0400890
0401905,0400890
0401906,0400890
0401907,0400890
0401908,0400890
0401909,0400890
0400900,0400900
0401000,0401000
0402502,0402500
0402503,0402500
0500101,0500100
0500102,0500100
0500201,0500200
0500202,0500200
0500300,0500300
0500400,0500400
0500500,0500500
0500600,0500600
0500700,0500700
0500800,0500800
0500900,0500900
0501000,0501000
0501100,0501100
0501200,0501200
0501300,0501300
0501400,0501400
0501501,0501500
0501502,0501500
0501600,0501600
0501700,0501700
0600101,0600100
0600111,0600100
0600112,0600100
0600113,0600100
0600114,0600100
0600115,0600100
0600116,0600100
0600117,0600100
0600118,0600100
0600119,0600100
0600120,0600100
0600121,0600100
0600122,0600100
0600123,0600100
0600300,0600300
0600700,0600700
0601100,0601100
0601301,0601300
0601305,0601300
0601308,0601300
0601309,0601300
0601310,0601300
0601311,0601300
0601312,0601300
0601313,0601300
0601314,0601300
0601500,0601500
0601700,0601700
0601901,0601900
0601902,0601900
0601903,0601900
0601904,0601900
0601905,0601900
0601906,0601900
0601907,0601900
0602300,0602300
0602500,0602500
0602903,0602900
0602904,0602900
0602905,0602900
0602906,0602900
0602907,0602900
0602908,0602900
0603100,0603100
0603300,0603300
0603703,0603700
0603704,0603700
0603705,0603700
0603706,0603700
0603707,0603700
0603708,0603700
0603709,0603700
0603710,0603700
0603711,0603700
0603712,0603700
0603713,0603700
0603714,0603700
0603715,0603700
0603716,0603700
0603717,0603700
0603718,0603700
0603719,0603700
0603720,0603700
0603721,0603700
0603722,0603700
0603723,0603700
0603724,0603700
0603725,0603700
0603728,0603700
0603730,0603700
0603731,0603700
0603732,0603700
0603733,0603700
0603734,0603700
0603735,0603700
0603736,0603700
0603737,0603700
0603738,0603700
0603739,0603700
0603740,0603700
0603741,0603700
0603742,0603700
0603743,0603700
0603744,0603700
0603745,0603700
0603746,0603700
0603747,0603700
0603748,0603700
0603750,0603700
0603751,0603700
0603752,0603700
0603753,0603700
0603754,0603700
0603757,0603700
0603758,0603700
0603759,0603700
0603760,0603700
0603761,0603700
0603762,0603700
0603763,0603700
0603764,0603700
0603766,0603700
0603767,0603700
0603768,0603700
0603770,0603700
0603771,0603700
0603772,0603700
0603773,0603700
0603774,0603700
0603775,0603700
0603776,0603700
0603778,0603700
0603779,0603700
0603780,0603700
0603781,0603700
0603782,0603700
0603900,0603900
0604103,0604100
0604104,0604100
0604701,0604700
0604702,0604700
0605301,0605304
0605302,0605304
0605303,0605304
0605500,0605500
0605700,0605700
0605906,0605900
0605907,0605900
0605908,0605900
0605909,0605900
0605912,0605900
0605913,0605900
0605914,0605900
0605916,0605900
0605917,0605900
0605918,0605900
0605919,0605900
0605920,0605900
0605921,0605900
0605922,0605900
0605923,0605900
0605924,0605900
0605925,0605900
0605926,0605900
0605927,0605900
0605928,0605900
0606101,0606100
0606102,0606100
0606103,0606100
0606501,0606500
0606502,0606500
0606507,0606500
0606509,0606500
0606511,0606500
0606514,0606500
0606515,0606500
0606516,0606500
0606517,0606500
0606518,0606500
0606519,0606500
0606520,0606500
0606521,0606500
0606522,0606500
0606523,0606500
0606524,0606500
0606525,0606500
0606701,0606700
0606703,0606700
0606704,0606700
0606705,0606700
0606706,0606700
0606707,0606700
